,length,ragged_substring_match,ragged_f1,ragged_rougel_f1,ragged_rougel_p,ragged_rougel_r,dataset,model,retriever,condition,num_preds,qampari_prec_mean,qampari_prec_std,qampari_rec_mean,qampari_rec_std,qampari_rec_top5_mean,qampari_rec_top5_std,qampari_f1_mean,qampari_f1_std,qampari_f1_top5_mean,qampari_f1_top5_std,citation_rec_mean,citation_rec_std,citation_prec_mean,citation_prec_std,num_sent_mean,unattributed_sents_mean,citations_oor,qampari_prec,qampari_rec,qampari_rec_top5,qampari_f1,qampari_f1_top5,citation_rec,citation_prec
39,22.774,,,,,,qampari,Mistral,bge-base,5,5.736,,,,,,,,,,,,,,,,,,18.741549457194907,11.611095163901387,19.400000000000002,12.872231700703281,17.89901771048762,25.902142857142856,21.730238095238096
40,26.235,,,,,,qampari,Mistral,bge-base,10,7.316,,,,,,,,,,,,,,,,,,16.883950962434955,12.717674369909282,21.520000000000003,13.047337063335492,18.00488022209944,11.404924242424244,9.784960317460317
41,27.978,,,,,,qampari,Mistral,bge-base,20,7.587,,,,,,,,,,,,,,,,,,17.2363690725016,13.364438244134005,22.419999999999998,13.516978662625212,18.411100197564274,10.508939393939395,9.888344155844155
42,47.365,,,,,,qampari,Mistral,bge-base,100,17.378,,,,,,,,,,,,,,,,,,8.37772188749291,10.692580532664039,18.22,8.163210879250677,10.489782050054298,3.7116344552450027,2.7723996265172732
43,20.53,,,,,,qampari,Mistral,colbert,1,4.757,,,,,,,,,,,,,,,,,,18.439103503285427,9.871675367958604,16.62,11.166338291692602,15.820871669822138,45.500952380952384,50.4792857142857
44,18.95,,,,,,qampari,Mistral,colbert,2,5.488,,,,,,,,,,,,,,,,,,21.031175995444304,12.501425913814423,20.560000000000002,13.78236915940838,18.970603041151833,44.22833333333333,36.30325396825397
45,22.165,,,,,,qampari,Mistral,colbert,3,5.767,,,,,,,,,,,,,,,,,,20.648172227218613,13.03327848222783,21.44,13.953276332687839,19.28450743550548,41.94166666666666,36.61011904761905
46,19.69,,,,,,qampari,Mistral,colbert,4,5.339,,,,,,,,,,,,,,,,,,23.548931875657882,13.710018297055445,22.38,15.43264570116046,21.357787219445253,32.426904761904765,28.269166666666667
47,19.845,,,,,,qampari,Mistral,colbert,5,5.871,,,,,,,,,,,,,,,,,,25.080439155077734,15.01025525519626,24.620000000000005,16.719404465682185,23.325666883487507,24.095,20.314285714285713
48,24.956,,,,,,qampari,Mistral,colbert,10,7.774,,,,,,,,,,,,,,,,,,23.17849198130158,18.173128323285496,29.799999999999997,18.175694086441116,24.687051835986416,10.071190476190477,8.472738095238094
49,28.433,,,,,,qampari,Mistral,colbert,20,8.689,,,,,,,,,,,,,,,,,,21.818500687184866,18.576466922003913,30.680000000000003,18.206957706584642,24.19894712449611,8.439166666666667,6.899761904761906
50,47.426,,,,,,qampari,Mistral,colbert,100,18.298,,,,,,,,,,,,,,,,,,10.907993785606028,14.264266305243298,24.04,10.832171094507231,13.56881365028107,2.472202380952381,1.7782004923181394
51,21.705,,,,,,qampari,Mistral,,gold,6.358,,,,,,,,,,,,,,,,,,35.18882209567788,23.102361428856124,39.080000000000005,24.970276136893368,34.994368595982415,23.22285714285714,19.675753968253968
52,32.332,,,,,,qampari,Mistral,,no-context,8.625,,,,,,,,,,,,,,,,,,11.220156681395174,9.669204085745088,17.12,9.464960777785016,13.037365682198345,,
